# soname	symbol	version
libLLVM-14.so.1	_ZN4llvm10ThreadPoolC1ENS_18ThreadPoolStrategyE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10ThreadPoolD1Ev	LLVM_14
libLLVM-14.so.1	_ZN4llvm10TimeRecord14getCurrentTimeEb	LLVM_14
libLLVM-14.so.1	_ZN4llvm10TimerGroup18aquireDefaultGroupEv	LLVM_14
libLLVM-14.so.1	_ZN4llvm10TimerGroup8clearAllEv	LLVM_14
libLLVM-14.so.1	_ZN4llvm10TimerGroup8printAllERNS_11raw_ostreamE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10TimerGroupC1ENS_9StringRefES1_	LLVM_14
libLLVM-14.so.1	_ZN4llvm10TimerGroupD1Ev	LLVM_14
libLLVM-14.so.1	_ZN4llvm10UndefValue3getEPNS_4TypeE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10VectorType3getEPNS_4TypeENS_12ElementCountE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10hash_valueENS_9StringRefE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10localCacheENS_5TwineES0_S0_St8functionIFvjSt10unique_ptrINS_12MemoryBufferESt14default_deleteIS3_EEEE	LLVM_14
libLLVM-14.so.1	_ZN4llvm10pruneCacheENS_9StringRefENS_18CachePruningPolicyE	LLVM_14
libLLVM-14.so.1	_ZN4llvm11APFloatBase10IEEEdoubleEv	LLVM_14
libLLVM-14.so.1	_ZN4llvm11APFloatBase10IEEEsingleEv	LLVM_14
libLLVM-14.so.1	_ZN4llvm11APFloatBase13getSizeInBitsERKNS_12fltSemanticsE	LLVM_14
libLLVM-14.so.1	_ZN4llvm11APFloatBase15EnumToSemanticsENS0_9SemanticsE	LLVM_14
libLLVM-14.so.1	_ZN4llvm11APFloatBase15PPCDoubleDoubleEv	LLVM_14
libLLVM-14.so.1	_ZN4llvm11APFloatBase15SemanticsToEnumERKNS_12fltSemanticsE	LLVM_14
libLLVM-14.so.1	_ZN4llvm11APFloatBase17x87DoubleExtendedEv	LLVM_14
libLLVM-14.so.1	_ZN4llvm11APFloatBase18semanticsPrecisionERKNS_12fltSemanticsE	LLVM_14
libLLVM-14.so.1	_ZN4llvm11APFloatBase19semanticsSizeInBitsERKNS_12fltSemanticsE	LLVM_14
libLLVM-14.so.1	_ZN4llvm11APFloatBase5BogusEv	LLVM_14
libLLVM-14.so.1	_ZN4llvm11APFloatBase6BFloatEv	LLVM_14
libLLVM-14.so.1	_ZN4llvm11APFloatBase8IEEEhalfEv	LLVM_14
libLLVM-14.so.1	_ZN4llvm11APFloatBase8IEEEquadEv	LLVM_14
libLLVM-14.so.1	_ZN4llvm11AttrBuilder12addAttributeENS_9Attribute8AttrKindE	LLVM_14
libLLVM-14.so.1	_ZN4llvm11AttrBuilder12addAttributeENS_9StringRefES1_	LLVM_14
libLLVM-14.so.1	_ZN4llvm11AttrBuilder12addByRefAttrEPNS_4TypeE	LLVM_14
libLLVM-14.so.1	_ZN4llvm11AttrBuilder12addByValAttrEPNS_4TypeE	LLVM_14
